drg,Description,RW,GMLOS,AMLOS,national_payment_rate
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.9651,30.2,39.2,"$170,646.44 "
002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,15.931,16.4,19.1,"$93,856.69 "
3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",18.9911,22.4,30.2,"$111,885.12 "
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",11.862,19.9,24.5,"$69,884.38 "
005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.2233,14.4,19.4,"$60,230.06 "
006,LIVER TRANSPLANT WITHOUT MCC,4.6917,7.5,8.1,"$27,640.92 "
007,LUNG TRANSPLANT,11.5743,17.4,20.8,"$68,189.41 "
008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.4268,9,10.2,"$31,971.72 "
010,PANCREAS TRANSPLANT,3.6177,8,9.1,"$21,313.50 "
011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.0164,10.9,13.8,"$29,553.87 "
012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.8319,8.3,9.4,"$22,575.45 "
013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.7205,6,6.8,"$16,027.69 "
014,ALLOGENEIC BONE MARROW TRANSPLANT,12.7788,24.1,27.2,"$75,285.66 "
016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.7262,17.1,18.3,"$39,627.07 "
017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.8302,8.9,11.6,"$28,456.88 "
018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,37.329,15.6,17.6,"$219,921.94 "
019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,6.6619,11,12.9,"$39,248.25 "
020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,10.3201,12.7,16.1,"$60,800.35 "
021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,7.5316,10,12.3,"$44,372.04 "
022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.8596,4,5.8,"$28,630.09 "
